FISHID	FAMILY	SIRE	DAM	SEX	LICE	WEIGHT	LENGHT
B322_0016	ET124	L2M20220	L2F22410	0	13	2.136720567	2.354108439
B322_0024	AR018	L2M20231	L2F21569	0	33	2.079181246	2.344392274
B322_0031	CK063	L2M20382	L2F24282	1	26	2.164352856	2.389166084
B322_0042	DM091	L2M20222	L2F21637	1	28	2.068185862	2.322219295
B322_0043	DH086	L2M20039	L2F20534	1	28	2.08278537	2.340444115
B322_0052	DU099	L2M20271	L2F21932	1	19	2.008600172	2.33243846
B322_0060	GZ182	L1M10002	L2F23521	0	29	1.954242509	2.28780173
B322_0068	DG085	L2M20325	L2F22572	1	33	2.075546961	2.336459734
B322_0069	DU099	L2M20271	L2F21932	0	27	2	2.318063335
B322_0072	DJ088	L2M20152	L2F21256	1	19	2.193124598	2.382017043
B322_0077	FZ156	L2M20152	L2F20884	0	13	2.155336037	2.36361198
B322_0079	DH086	L2M20039	L2F20534	0	25	2.021189299	2.33243846
B322_0083	FZ156	L2M20152	L2F20884	0	39	2.133538908	2.346352974
B322_0086	DH086	L2M20039	L2F20534	0	17	1.939519253	2.292256071
B322_0089	GX180	L2M20271	L2F21995	0	15	1.944482672	2.301029996
B322_0093	GZ182	L1M10002	L2F23521	0	7	1.973127854	2.301029996
B322_0097	DU099	L2M20271	L2F21932	0	61	2.033423755	2.33243846
B322_0102	ET124	L2M20220	L2F22410	1	19	2.167317335	2.372912003
B322_0104	DH086	L2M20039	L2F20534	0	48	2.146128036	2.367355921
B322_0110	AV022	L2M20232	L2F22218	1	15	2.033423755	2.334453751
B322_0111	FA131	L2M20241	L2F22141	0	24	1.770852012	2.235528447
B322_0114	GX180	L2M20271	L2F21995	0	25	1.939519253	2.292256071
B322_0117	BJ036	L2M20249	L2F21322	0	44	2.139879086	2.356025857
B322_0118	FW153	L2M20249	L2F21328	1	20	2.086359831	2.342422681
B322_0119	DU099	L2M20271	L2F21932	1	29	1.959041392	2.303196057
B322_0120	AV022	L2M20232	L2F22218	1	31	2.053078443	2.328379603
B322_0124	GX180	L2M20271	L2F21995	0	17	1.991226076	2.315970345
B322_0125	BH034	L2M20195	L2F21039	0	34	2.017033339	2.322219295
B322_0134	CK063	L2M20382	L2F24282	0	18	2.025305865	2.342422681
B322_0137	GZ182	L1M10002	L2F23521	0	18	2.021189299	2.307496038
B322_0138	GZ182	L1M10002	L2F23521	0	21	2.053078443	2.342422681
B322_0140	AV022	L2M20232	L2F22218	1	14	2.017033339	2.324282455
B322_0146	DG085	L2M20325	L2F22572	1	17	2.079181246	2.322219295
B322_0149	FA131	L2M20241	L2F22141	1	34	2.053078443	2.340444115
B322_0150	EK115	L2M20182	L2F21107	0	27	2.033423755	2.315970345
B322_0156	CK063	L2M20382	L2F24282	0	20	2.06069784	2.352182518
B322_0159	FZ156	L2M20152	L2F20884	0	44	2.029383778	2.311753861
B322_0160	GX180	L2M20271	L2F21995	1	17	2.012837225	2.33243846
B322_0167	EK115	L2M20182	L2F21107	0	37	2.049218023	2.33243846
B322_0176	DH086	L2M20039	L2F20534	1	20	2.053078443	2.334453751
B322_0177	CK063	L2M20382	L2F24282	1	23	2.139879086	2.367355921
B322_0181	AR018	L2M20231	L2F21569	1	19	1.986771734	2.31386722
B322_0186	DH086	L2M20039	L2F20534	0	26	1.977723605	2.307496038
B322_0189	FZ156	L2M20152	L2F20884	1	32	2.204119983	2.390935107
B322_0191	FW153	L2M20249	L2F21328	1	23	2.06069784	2.334453751
