FISHID	SIRE	DAM	SEX
B322_0222	L2M20300	L2F22827	1
B322_0290	L2M20241	L2F21811	0
B322_0293	L2M20275	L2F22142	0
B322_0220	L2M20241	L2F21811	0
B322_0297	L2M20308	L2F22750	0
B322_0299	L2M20261	L2F22907	0
B322_0215	L2M20288	L2F22514	1
B322_0212	L2M20171	L2F21694	1
B322_0265	L2M20288	L2F22514	1
B322_0266	L2M20276	L2F22429	1
B322_0267	L2M20276	L2F22429	0
B322_0268	L2M20039	L2F20682	0
B322_0269	L2M20382	L2F24283	0
B322_0270	L2M20182	L2F20756	1
B322_0271	L2M20172	L2F21075	0
B322_0272	L2M20231	L2F22403	0
B322_0273	L2M20379	L2F24288	1
B322_0274	L2M20382	L2F24283	1
B322_0275	L2M20171	L2F21741	1
B322_0276	L2M20195	L2F21010	1
B322_0277	L2M20241	L2F21811	1
B322_0279	L2M20039	L2F20682	0
B322_0288	L2M20172	L2F21005	1
B322_0578	L2M20288	L2F22496	1
B322_0573	L2M20288	L2F22496	1
B322_0568	L2M20327	L2F23443	1
B322_0545	L2M20325	L2F22608	0
B322_0600	L2M20285	L2F22476	1
B322_0132	L2M20327	L2F23481	1
B322_0133	L2M20195	L2F21010	0
B322_0005	L2M20171	L2F21741	0
B322_0280	L2M20261	L2F23414	1
B322_0579	L2M20171	L2F21741	1
B322_0565	L1M10002	L2F23517	0
B322_0560	L2M20261	L2F22907	0
B322_0515	L2M20261	L2F23414	1
B322_0541	L2M20220	L2F22306	0
B322_0592	L2M20241	L2F21811	1
B322_0130	L2M20255	L2F22374	0
B322_0107	L2M20300	L2F22827	0
B322_0195	L2M20300	L2F22827	0
B322_0006	L2M20308	L2F22750	0
B322_0281	L2M20275	L2F22528	0
B322_0577	L2M20232	L2F22244	1
B322_0569	L2M20172	L2F21075	0
B322_0554	L2M20241	L2F21811	1
B322_0511	L2M20288	L2F22496	0
B322_0516	L2M20360	L2F23949	0
B322_0533	L2M20379	L2F24287	1
B322_0593	L2M20125	L2F20598	1
B322_0129	L2M20379	L2F24288	1
B322_0103	L2M20327	L2F23481	0
B322_0193	L2M20255	L2F23226	0
B322_0105	L2M20276	L2F22429	0
B322_0282	L2M20308	L2F22750	0
B322_0591	L2M20300	L2F22809	1
B322_0572	L2M20111	L2F21054	0
B322_0574	L2M20327	L2F23443	0
B322_0524	L2M20220	L2F22306	1
B322_0512	L1M10002	L2F23517	0
B322_0540	L2M20195	L2F21010	0
B322_0597	L2M20300	L2F22827	0
B322_0139	L2M20300	L2F22809	0
B322_0101	L2M20039	L2F20682	0
B322_0200	L2M20111	L2F20671	0
B322_0116	L2M20195	L2F21010	1
B322_0283	L2M20241	L2F21811	1
B322_0590	L2M20360	L2F23949	0
B322_0564	L2M20195	L2F21010	0
B322_0567	L2M20171	L2F21741	0
B322_0518	L2M20257	L2F22055	1
B322_0520	L2M20382	L2F24283	1
B322_0552	L2M20111	L2F21054	1
B322_0143	L2M20172	L2F21005	0
B322_0131	L2M20257	L2F22055	0
B322_0108	L2M20255	L2F23226	0
B322_0001	L2M20276	L2F22157	1
B322_0141	L2M20327	L2F23481	0
B322_0285	L2M20275	L2F22142	1
B322_0583	L2M20327	L2F23443	1
B322_0561	L2M20327	L2F23443	1
B322_0559	L2M20308	L2F22750	1
B322_0528	L2M20300	L2F22809	0
B322_0505	L2M20308	L2F22750	1
B322_0517	L2M20276	L2F22157	0
B322_0121	L2M20327	L2F23481	1
B322_0127	L2M20276	L2F22429	1
B322_0115	L2M20232	L2F22244	1
B322_0145	L2M20195	L2F21010	0
B322_0286	L2M20232	L2F22244	1
B322_0585	L2M20288	L2F22496	1
B322_0562	L2M20171	L2F21694	1
B322_0555	L2M20172	L2F21005	0
B322_0525	L2M20325	L2F22608	1
B322_0530	L2M20195	L2F21010	1
B322_0523	L2M20325	L2F22608	0
B322_0144	L2M20261	L2F23414	1
B322_0122	L2M20360	L2F24065	1
B322_0199	L2M20257	L2F22055	1
B322_0148	L2M20261	L2F22907	0
B322_0287	L2M20360	L2F23949	0
B322_0582	L2M20111	L2F20671	1
B322_0575	L2M20276	L2F22157	0
B322_0558	L2M20261	L2F22907	1
B322_0521	L2M20288	L2F22514	1
B322_0538	L2M20125	L2F20598	1
B322_0136	L2M20195	L2F21010	1
B322_0123	L2M20039	L2F20682	1
B322_0198	L2M20360	L2F23949	1
B322_0004	L2M20379	L2F24287	1
B322_0151	L2M20182	L2F20756	0
B322_0152	L2M20111	L2F20671	1
B322_0165	L2M20327	L2F23443	1
B322_0174	L2M20360	L2F23949	0
B322_0028	L2M20325	L2F22608	1
B322_0035	L2M20261	L2F22907	1
B322_0040	L2M20257	L2F22055	0
B322_0094	L2M20276	L2F22157	0
B322_0017	L2M20261	L2F23414	0
B322_0055	L2M20171	L2F21741	1
B322_0082	L2M20182	L2F20756	0
B322_0153	L2M20039	L2F20682	1
B322_0166	L1M10002	L2F23517	1
B322_0175	L2M20327	L2F23443	1
B322_0025	L2M20261	L2F22907	1
B322_0038	L2M20039	L2F20682	0
B322_0071	L2M20241	L2F21811	1
B322_0007	L2M20360	L2F24065	0
B322_0018	L2M20300	L2F22809	0
B322_0057	L2M20327	L2F23443	0
B322_0087	L2M20276	L2F22429	0
B322_0168	L2M20308	L2F22756	0
B322_0178	L2M20327	L2F23443	0
B322_0026	L2M20171	L2F21741	1
B322_0037	L2M20379	L2F24287	1
B322_0100	L2M20255	L2F23226	0
B322_0062	L2M20276	L2F22429	0
B322_0008	L2M20308	L2F22750	1
B322_0019	L2M20288	L2F22514	0
B322_0064	L2M20360	L2F24065	1
B322_0088	L2M20308	L2F22750	0
B322_0707	L2M20125	L2F20598	0
B322_0155	L2M20195	L2F21010	0
B322_0169	L2M20276	L2F22157	0
B322_0179	L2M20300	L2F22809	0
B322_0034	L2M20300	L2F22809	1
B322_0022	L2M20288	L2F22514	1
B322_0063	L2M20327	L2F23481	0
B322_0010	L2M20171	L2F21694	1
B322_0020	L2M20285	L2F22476	1
B322_0073	L2M20232	L2F22244	0
B322_0090	L2M20327	L2F23481	1
B322_0714	L1M10002	L2F23517	0
B322_0157	L2M20255	L2F22374	1
B322_0170	L2M20327	L2F23443	1
B322_0180	L2M20285	L2F22872	1
B322_0033	L2M20171	L2F21741	0
B322_0030	L2M20039	L2F20682	0
B322_0098	L2M20327	L2F23481	1
B322_0070	L2M20308	L2F22750	1
B322_0011	L2M20241	L2F21811	1
B322_0021	L2M20039	L2F20682	0
B322_0075	L2M20276	L2F22429	1
B322_0092	L2M20261	L2F23414	0
B322_0720	L2M20172	L2F21075	0
B322_0161	L2M20382	L2F24283	0
B322_0171	L2M20172	L2F21005	1
B322_0182	L2M20220	L2F22306	1
B322_0036	L2M20172	L2F21005	0
B322_0054	L2M20111	L2F20671	1
B322_0067	L2M20171	L2F21741	0
B322_0012	L2M20261	L2F23414	1
B322_0023	L2M20111	L2F21054	1
