Ind	Years	Lots	F.Weight	Hue.g	Ethylene	RI	TA	Glucose	Fructose	Sucrose	Citric.A.	Malic.A.
GoMo-B022	2006	3	62.4	79.2	6.91	13.8	27.55	1.28	0.72	5.03	20.9	8.28
GoMo-B024	2006	1	66.7	73.41	3.71	14.9	24.57	1.68	0.76	5.67	20.08	11.34
GoMo-B024	2006	2	68.8	70.94	4.16	15.2	23.14	1.51	0.73	6.87	18.62	11.37
GoMo-B024	2006	3	69.7	67.77	4.5	16.7	20.32	1.49	0.72	7.72	18.63	10.05
GoMo-B025	2006	1	69.6	70.93	2.64	11.4	20.99	1	0.39	3.29	22.58	6.12
GoMo-B025	2006	2	73	71.04	3.93	12.8	18.12	1.37	0.52	4.78	19.63	6.55
GoMo-B025	2006	3	67.4	68.09	4.86	12.2	16.85	1.66	0.8	5.64	18.26	6.69
GoMo-B027	2006	1	67	81.16	5.11	12.1	25.3	1.3	0.55	4.74	24.95	8.64
GoMo-B027	2006	2	74.6	79.56	7.62	13	24.8	1.21	0.55	5.82	23.81	8.92
GoMo-B027	2006	3	75.2	74.64	8.84	12.8	21.9	1.22	0.5	7.21	20.58	8.04
GoMo-B028	2006	1	86.8	77.6	7.4	11.6	36.45	1.56	0.84	4.43	35.62	5.62
GoMo-B028	2006	2	76.2	79.43	8.11	11.6	36.89	1.36	0.78	4.39	34.2	5.23
GoMo-B028	2006	3	76.8	77.39	8.63	12.2	34.1	1.51	0.82	5.03	34.77	4.72
GoMo-B028	2006	1	76.7	77.06	8.22	12.1	34.24	1.55	0.88	4.95	34.15	4.98
GoMo-B028	2006	2	82	78.64	8.76	12.1	32.73	1.57	0.8	5.02	31.47	4.76
GoMo-B028	2006	3	84.3	76.55	9.12	12.8	31.69	1.69	0.82	4.96	36.64	4.33
GoMo-B029	2006	1	50.5	70.75	2.64	15.4	20.23	1.78	0.81	5.3	17.89	10.02
GoMo-B029	2006	2	49.8	67.43	3.3	13.9	20	1.86	0.88	6.04	18.02	9.34
GoMo-B029	2006	3	52.2	64.52	3.78	15.8	17.27	1.92	0.88	6.86	15.66	8.8
GoMo-B030	2006	1	41.6	73.65	3.71	15.3	37.48	1.46	0.86	6.29	34.35	7.96
GoMo-B030	2006	2	38.5	71.01	6.48	15.7	35.72	1.58	0.91	7.56	30.52	9.15
GoMo-B030	2006	3	36.9	70.42	7.77	15.9	35.25	1.6	1.02	7.85	30.67	8.41
GoMo-B034	2006	1	56.5	86.91	4.29	13.1	19.63	2.74	0.62	5.12	20.69	5.01
GoMo-B034	2006	2	61	82.87	7.39	14.6	17.8	2.23	0.56	5.15	18.15	5.78
GoMo-B034	2006	3	58.7	81.31	7.71	14.5	14.71	2.84	0.6	6.39	15.56	5.95
GoMo-B038	2006	1	47.2	85.91	4.85	13	22.57	1.97	0.85	6.45	19.34	10.13
GoMo-B038	2006	2	47	85.36	5.7	16.1	23.97	1.84	0.78	7	19.08	7.81
GoMo-B038	2006	3	44	79.9	7.41	12.8	21.07	1.91	0.81	7.73	19.91	8.19
GoMo-B039	2006	1	53.1	81.17	6.92	14.9	22.06	1.69	0.62	6.75	20.48	8
